Customer ID,Restaurant Name,Cuisine Type,Cost of the order,Day of the week,Rating,Food preparing time,Delivery time,Total time
128243,The Meatball Shop,Italian,6.74,Weekend,5,26,30,56
53543,CafÌ© China,Chinese,24.3,Weekend,4,20,23,43
230535,Shake Shack,American,10.38,Weekend,3,24,29,53
127122,RedFarm Broadway,Chinese,6.79,Weekend,5,33,28,61
177250,RedFarm Hudson,Chinese,25.27,Weekend,4,34,28,62
111125,Otto Enoteca Pizzeria,Italian,14.99,Weekend,5,29,21,50
144997,RedFarm Hudson,Chinese,29.05,Weekend,4,22,28,50
97991,Blue Ribbon Sushi Bar & Grill,Japanese,9.65,Weekend,5,25,26,51
58533,The Meatball Shop,Italian,29.2,Weekend,5,31,24,55
104336,Nobu Next Door,Japanese,5.77,Weekday,4,29,24,53
232582,CafÌ© China,Chinese,32.93,Weekday,3,26,28,54
195927,Boqueria,Spanish,12.13,Weekend,5,30,20,50
373689,Bareburger,American,12.08,Weekend,4,29,20,49
370372,Blue Ribbon Fried Chicken,American,11.59,Weekday,4,25,24,49
264707,TAO,Japanese,9.56,Weekend,5,21,17,38
42385,Song Thai Restaurant & Bar,Thai,24.2,Weekend,5,21,26,47
104555,Sushi of Gari,Japanese,29.34,Weekday,5,32,25,57
250494,The Meatball Shop,Italian,11.16,Weekday,5,22,28,50
139085,Shake Shack,American,24.25,Weekday,4,32,24,56
198309,Blue Ribbon Sushi,Japanese,29.2,Weekend,4,22,25,47
399478,Shake Shack,American,14.07,Weekend,4,25,28,53
40010,Parm,Italian,19.35,Weekend,4,35,19,54
48131,RedFarm Hudson,Chinese,16.1,Weekend,4,23,29,52
41692,Shake Shack,American,22.8,Weekend,4,30,19,49
61305,Blue Ribbon Sushi Bar & Grill,Japanese,15.23,Weekend,5,30,19,49
123780,Five Guys Burgers and Fries,American,33.03,Weekend,5,29,25,54
385248,Shake Shack,American,12.95,Weekend,4,27,18,45
97806,Shake Shack,American,16.49,Weekend,5,32,22,54
97079,Benihana,Japanese,29.05,Weekend,4,25,26,51
52463,RedFarm Broadway,Chinese,31.33,Weekend,3,33,23,56
105068,TAO,Japanese,16.01,Weekend,4,26,16,42
128600,Tamarind TriBeCa,Indian,14.07,Weekend,4,26,21,47
71791,Sushi of Gari 46,Japanese,8.83,Weekday,4,31,33,64
362068,The Kati Roll Company,Indian,33.03,Weekend,5,35,21,56
298824,Shake Shack,American,16.25,Weekday,3,30,24,54
94524,The Meatball Shop,Italian,22.36,Weekend,4,28,18,46
342107,The Kati Roll Company,Indian,16.83,Weekend,4,26,20,46
62359,Rubirosa,Italian,8.0,Weekday,4,27,29,56
347181,Blue Ribbon Sushi,Japanese,16.01,Weekend,4,29,22,51
60052,RedFarm Broadway,Chinese,16.01,Weekday,4,23,27,50
198936,Five Leaves,American,10.24,Weekday,4,22,25,47
348787,Otto Enoteca Pizzeria,Italian,19.4,Weekday,4,32,28,60
184325,Pinto Nouveau Thai Bistro,Thai,19.35,Weekend,4,34,24,58
42935,Barbounia,Mediterranean,13.97,Weekend,5,29,25,54
200672,Cafe Mogador,Middle Eastern,13.0,Weekend,4,21,15,36
75484,Five Guys Burgers and Fries,American,13.05,Weekend,5,34,27,61
378027,RedFarm Broadway,Chinese,8.49,Weekend,4,24,16,40
93133,Parm,Italian,22.8,Weekday,5,33,33,66
268958,Barbounia,Mediterranean,20.18,Weekend,5,29,19,48
370017,RedFarm Broadway,Chinese,19.59,Weekend,5,24,19,43
146586,Dirty Bird to Go,American,19.4,Weekend,4,25,19,44
350085,The Meatball Shop,Italian,17.03,Weekday,5,22,29,51
292343,Amy Ruth's,Southern,16.11,Weekend,4,30,26,56
84700,Pepe Giallo,Italian,14.6,Weekday,3,32,24,56
53212,TAO,Japanese,12.27,Weekday,4,26,29,55
373353,indikitch,Indian,22.26,Weekend,4,35,16,51
79255,The Meatball Shop,Italian,6.79,Weekend,5,26,15,41
275689,Han Dynasty,Chinese,14.12,Weekend,4,35,19,54
354719,The Meatball Shop,Italian,29.15,Weekend,5,34,20,54
17495,Prosperity Dumpling,Chinese,12.18,Weekday,5,26,24,50
352247,Chipotle Mexican Grill $1.99 Delivery,Mexican,25.22,Weekend,4,27,22,49
300670,Shake Shack,American,13.39,Weekend,4,30,22,52
87747,Blue Ribbon Fried Chicken,American,9.02,Weekend,5,31,15,46
326426,Sushi of Gari,Japanese,29.15,Weekend,5,34,24,58
131645,Yama 49,Japanese,13.0,Weekday,5,24,32,56
129518,Blue Ribbon Fried Chicken,American,15.33,Weekday,4,24,29,53
103005,Yama Japanese Restaurant,Japanese,14.55,Weekend,5,20,28,48
140477,Momoya,Japanese,31.43,Weekend,4,24,17,41
250494,Five Guys Burgers and Fries,American,33.03,Weekend,5,29,15,44
105164,Piccolo Angolo,Italian,15.91,Weekend,4,26,26,52
160957,Momoya,Japanese,12.18,Weekend,4,27,25,52
361509,Shake Shack,American,19.35,Weekday,4,35,33,68
169478,RedFarm Broadway,Chinese,19.35,Weekend,4,24,28,52
91192,Hill Country Fried Chicken,Southern,29.35,Weekend,4,26,24,50
134294,Shake Shack,American,15.28,Weekday,4,30,29,59
365225,Pepe Rosso To Go,Italian,12.23,Weekday,3,24,24,48
279895,Shake Shack,American,9.6,Weekday,4,35,28,63
81110,Han Dynasty,Chinese,12.95,Weekend,4,20,25,45
384391,Shake Shack,American,8.88,Weekend,5,27,23,50
328357,Shake Shack,American,15.96,Weekend,3,30,21,51
41318,Jack's Wife Freda,Mediterranean,15.47,Weekend,5,33,16,49
92832,Five Guys Burgers and Fries,American,12.23,Weekend,5,22,22,44
58871,Shake Shack,American,8.05,Weekday,4,25,27,52
231042,Momoya,Japanese,8.54,Weekday,4,28,29,57
336162,Nobu Next Door,Japanese,29.15,Weekday,5,28,25,53
76907,Han Dynasty,Chinese,7.23,Weekend,5,21,18,39
389740,L'Express,French,19.69,Weekend,3,26,17,43
41168,Parm,Italian,12.13,Weekend,3,34,22,56
59749,Bareburger,American,16.49,Weekday,4,31,27,58
86731,Mission Cantina,Mexican,12.08,Weekend,5,30,18,48
42832,5 Napkin Burger,American,9.27,Weekend,4,34,30,64
91005,Han Dynasty,Chinese,24.25,Weekend,5,33,26,59
128963,Han Dynasty,Chinese,5.67,Weekday,4,21,31,52
124085,Blue Ribbon Sushi Bar & Grill,Japanese,14.12,Weekend,3,21,24,45
231061,Han Dynasty,Chinese,33.03,Weekday,4,33,31,64
105138,Han Dynasty,Chinese,8.97,Weekend,4,33,19,52
95164,Amma,Indian,8.88,Weekday,4,27,24,51
263426,Blue Ribbon Sushi Izakaya,Japanese,12.13,Weekday,5,30,29,59
142461,Delicatessen,American,11.64,Weekend,4,27,27,54
263199,Sushi of Gari 46,Japanese,31.43,Weekend,4,35,23,58
387227,Blue Ribbon Sushi Bar & Grill,Japanese,13.15,Weekend,5,30,30,60
385559,Blue Ribbon Fried Chicken,American,14.02,Weekend,5,20,28,48
127149,Sarabeth's East,American,9.41,Weekend,4,25,16,41
200074,Osteria Morini,Italian,9.07,Weekend,4,33,16,49
136876,Rubirosa,Italian,14.07,Weekend,5,35,16,51
103884,S'MAC,American,14.46,Weekend,5,34,17,51
38612,Vanessa's Dumplings,Chinese,6.7,Weekend,5,20,17,37
334619,Blue Ribbon Sushi Izakaya,Japanese,14.07,Weekday,4,24,26,50
92996,Tamarind TriBeCa,Indian,19.45,Weekend,4,29,19,48
195723,Cafe Habana,Mexican,13.97,Weekday,3,34,28,62
268958,Sushi of Gari 46,Japanese,12.22,Weekend,4,24,20,44
111356,Bhatti Indian Grill,Indian,29.25,Weekend,5,21,15,36
361509,Cafeteria,American,17.03,Weekend,3,34,20,54
367591,Taro Sushi,Japanese,16.05,Weekday,5,35,32,67
103005,Yama Japanese Restaurant,Japanese,17.08,Weekend,5,28,15,43
399121,Blue Ribbon Sushi,Japanese,11.3,Weekday,4,24,24,48
260680,Delicatessen,American,32.98,Weekend,5,34,16,50
124838,Hill Country Fried Chicken,Southern,29.15,Weekend,5,33,25,58
295111,The Meatball Shop,Italian,13.0,Weekday,5,23,26,49
42052,Pepe Rosso To Go,Italian,13.73,Weekend,4,21,28,49
52832,Han Dynasty,Chinese,12.23,Weekend,3,33,27,60
120833,Bareburger,American,16.25,Weekend,4,29,15,44
94483,Bistango,Italian,24.2,Weekend,4,28,21,49
49631,The Meatball Shop,Italian,14.31,Weekend,5,23,17,40
114085,Blue Ribbon Sushi Bar & Grill,Japanese,19.4,Weekend,5,28,20,48
251607,Shake Shack,American,14.12,Weekday,4,31,28,59
72339,Donburi-ya,Japanese,14.7,Weekend,5,30,27,57
229946,Balthazar Boulangerie,French,15.52,Weekend,4,21,29,50
92726,Hatsuhana,Japanese,8.97,Weekend,4,25,26,51
320493,Vanessa's Dumplings,Chinese,29.2,Weekday,5,27,30,57
69348,RedFarm Broadway,Chinese,11.64,Weekend,3,26,21,47
270149,Samurai Mama,Japanese,11.64,Weekend,5,21,18,39
354016,Waverly Diner,American,19.4,Weekend,5,25,23,48
104548,Tarallucci e Vino Restaurant,Italian,29.1,Weekday,4,28,33,61
105754,Momoya,Japanese,14.02,Weekday,4,24,30,54
157578,P.J. Clarke's,American,6.11,Weekend,4,27,25,52
350373,Blue Ribbon Fried Chicken,American,12.23,Weekend,4,21,26,47
47440,Blue Ribbon Fried Chicken,American,12.18,Weekend,4,31,23,54
85633,The Meatball Shop,Italian,24.2,Weekend,5,24,24,48
110091,The Meatball Shop,Italian,12.18,Weekend,5,27,17,44
95164,Amma,Indian,17.03,Weekend,4,28,19,47
96877,The Meatball Shop,Italian,22.26,Weekday,4,30,26,56
261400,The Meatball Shop,Italian,19.45,Weekday,5,31,32,63
177078,Lantern Thai Kitchen,Thai,21.93,Weekday,5,22,25,47
68429,Shake Shack,American,15.76,Weekend,5,24,22,46
52832,ilili Restaurant,Middle Eastern,9.46,Weekday,4,25,25,50
373633,Yama 49,Japanese,12.61,Weekday,5,23,28,51
390490,Blue Ribbon Brooklyn,American,22.85,Weekend,3,23,19,42
72639,P.J. Clarke's,American,12.18,Weekend,3,22,28,50
95644,RedFarm Broadway,Chinese,12.61,Weekday,4,26,27,53
129597,Otto Enoteca Pizzeria,Italian,12.13,Weekend,5,33,21,54
101084,RedFarm Hudson,Chinese,12.13,Weekend,4,20,22,42
46859,The Meatball Shop,Italian,8.54,Weekday,5,24,29,53
117810,Momoya,Japanese,19.35,Weekday,4,29,24,53
49034,The Smile,American,12.18,Weekend,4,22,27,49
82041,Parm,Italian,22.8,Weekend,4,35,20,55
142461,Shake Shack,American,12.13,Weekend,4,32,15,47
97991,Blue Ribbon Sushi Bar & Grill,Japanese,19.45,Weekday,5,34,27,61
113972,RedFarm Hudson,Chinese,12.13,Weekend,3,31,25,56
114085,Blue Ribbon Sushi Bar & Grill,Japanese,12.18,Weekend,5,24,18,42
231042,Momoya,Japanese,12.13,Weekend,5,22,21,43
298824,Bareburger,American,12.56,Weekend,4,24,26,50
52360,TAO,Japanese,24.3,Weekend,4,24,22,46
83504,Balthazar Boulangerie,French,29.15,Weekday,4,31,28,59
194778,Shake Shack,American,16.06,Weekend,5,30,17,47
105992,RedFarm Broadway,Chinese,24.3,Weekend,5,27,29,56
373486,Chipotle Mexican Grill $1.99 Delivery,Mexican,9.6,Weekend,3,23,26,49
49631,The Meatball Shop,Italian,19.4,Weekend,5,28,17,45
250494,Blue Ribbon Fried Chicken,American,29.1,Weekend,4,21,22,43
378923,Vanessa's Dumpling House,Chinese,12.18,Weekend,5,27,18,45
58898,RedFarm Broadway,Chinese,21.39,Weekend,5,23,24,47
250494,Bubby's ,American,24.25,Weekend,4,34,28,62
144997,RedFarm Hudson,Chinese,32.93,Weekend,4,33,30,63
75115,RedFarm Hudson,Chinese,14.07,Weekday,4,20,32,52
59674,Woorijip,Korean,8.25,Weekend,3,26,26,52
115238,The Smile,American,19.4,Weekday,5,26,27,53
368663,Shake Shack,American,12.18,Weekend,4,23,28,51
128353,The Meatball Shop,Italian,14.94,Weekend,5,32,25,57
355713,RedFarm Broadway,Chinese,14.26,Weekend,4,28,24,52
269793,Dirty Bird To Go (archived),American,8.54,Weekend,4,32,30,62
100778,The Meatball Shop,Italian,12.18,Weekend,5,25,28,53
60052,Rubirosa,Italian,29.1,Weekend,5,30,28,58
47280,Rubirosa,Italian,12.56,Weekend,4,31,17,48
183520,Blue Ribbon Sushi,Japanese,9.17,Weekend,3,25,28,53
391860,Lucky's Famous Burgers,American,16.2,Weekend,5,32,27,59
334373,Five Guys Burgers and Fries,American,14.12,Weekday,5,23,32,55
370405,Haveli Indian Restaurant,Indian,5.72,Weekend,3,24,26,50
64153,Blue Ribbon Fried Chicken,American,21.34,Weekend,4,35,23,58
314480,Shake Shack,American,6.79,Weekend,4,20,25,45
232035,Blue Ribbon Fried Chicken,American,12.18,Weekend,4,22,29,51
80434,Bareburger,American,12.18,Weekend,4,33,18,51
81166,Dos Caminos,Mexican,6.11,Weekend,5,26,21,47
91397,Chipotle Mexican Grill $1.99 Delivery,Mexican,14.16,Weekday,4,22,24,46
237592,Shake Shack,American,5.68,Weekend,4,31,30,61
91879,da Umberto,Italian,12.27,Weekday,5,20,30,50
22405,The Meatball Shop,Italian,20.18,Weekend,4,32,26,58
290693,Shake Shack,American,14.02,Weekend,5,26,21,47
64658,Blue Ribbon Sushi Bar & Grill,Japanese,16.2,Weekday,5,27,27,54
365401,Dirty Bird To Go (archived),American,15.57,Weekend,4,30,24,54
301032,Mission Cantina,Mexican,14.45,Weekend,5,27,29,56
100536,Shake Shack,American,8.15,Weekend,4,26,17,43
232359,The Meatball Shop,American,29.25,Weekend,3,21,19,40
181782,Parm,Italian,8.78,Weekend,3,23,26,49
146588,Sushi of Gari,Japanese,15.96,Weekend,5,23,22,45
360844,Tamarind TriBeCa,Indian,8.59,Weekday,5,32,31,63
353606,P.J. Clarke's,American,15.62,Weekday,5,27,32,59
109221,Tortaria,Mexican,13.0,Weekday,5,21,24,45
78318,RedFarm Hudson,Chinese,12.23,Weekend,4,24,19,43
152786,Cafe Habana,Mexican,25.22,Weekday,4,32,28,60
118776,Blue Ribbon Sushi Bar & Grill,Japanese,5.87,Weekend,4,31,20,51
81110,Hill Country Fried Chicken,Southern,24.2,Weekend,4,25,15,40
104336,Shake Shack,American,19.45,Weekday,4,28,24,52
92806,Shake Shack,American,12.18,Weekend,4,29,22,51
130521,Lucky's Famous Burgers,American,6.01,Weekend,5,33,16,49
52031,Han Dynasty,Chinese,21.93,Weekend,4,24,20,44
304708,Parm,Italian,5.92,Weekend,3,21,25,46
74925,Cafe Mogador,Middle Eastern,24.2,Weekend,4,32,22,54
104130,Blue Ribbon Sushi,Japanese,15.76,Weekend,4,30,26,56
133202,Sushi Samba,Japanese,6.11,Weekend,5,30,27,57
150865,Vanessa's Dumpling House,Chinese,5.72,Weekend,5,20,21,41
331608,Shake Shack,American,19.4,Weekend,4,30,18,48
363561,Shake Shack,American,8.49,Weekday,4,33,32,65
235620,Shake Shack,American,32.93,Weekend,4,32,25,57
118975,Shake Shack,American,12.23,Weekend,4,20,27,47
128224,Osteria Morini,Italian,9.17,Weekend,4,25,22,47
109419,The Meatball Shop,Italian,11.69,Weekend,5,30,21,51
63417,Pepe Rosso To Go,Italian,24.2,Weekend,3,27,19,46
55334,Sushi of Gari Tribeca,Japanese,9.85,Weekend,5,26,17,43
301618,Vanessa's Dumplings,Chinese,25.22,Weekday,5,32,24,56
47386,Bubby's ,American,22.75,Weekend,5,32,16,48
122609,Blue Ribbon Sushi,Japanese,6.84,Weekend,4,20,30,50
391746,Blue Ribbon Sushi,Japanese,24.3,Weekend,4,35,18,53
62027,Momoya,Japanese,19.35,Weekend,4,27,28,55
237616,Shake Shack,American,12.13,Weekday,3,22,27,49
103526,Burger Joint,American,9.02,Weekday,5,24,29,53
68965,RedFarm Hudson,Chinese,12.18,Weekend,4,20,18,38
232035,ilili Restaurant,Middle Eastern,9.17,Weekend,4,26,19,45
62359,Pylos,Mediterranean,19.4,Weekend,4,28,29,57
403833,Room Service,Thai,6.69,Weekday,4,25,32,57
61588,Blue Ribbon Sushi,Japanese,5.82,Weekend,4,34,27,61
91907,Sarabeth's Restaurant,American,12.08,Weekend,5,28,26,54
376578,Shake Shack,American,15.76,Weekend,5,32,24,56
212469,Blue Ribbon Fried Chicken,American,33.03,Weekend,5,34,24,58
104563,Blue Ribbon Sushi,Japanese,24.25,Weekend,4,24,23,47
235818,Shake Shack,American,12.13,Weekend,4,30,19,49
127149,Sarabeth's East,American,5.72,Weekend,4,33,26,59
399520,Xe May Sandwich Shop,Vietnamese,7.96,Weekend,5,25,29,54
142773,Hibino,Japanese,14.02,Weekend,4,28,15,43
318874,The Kati Roll Company,Indian,14.07,Weekend,5,33,17,50
355592,CafÌ© China,Chinese,21.83,Weekend,4,32,15,47
197265,Hill Country Fried Chicken,Southern,29.15,Weekend,4,20,17,37
149508,Shake Shack,American,22.26,Weekend,4,32,17,49
342882,Yama Japanese Restaurant,Japanese,5.82,Weekend,4,30,30,60
309981,Blue Ribbon Fried Chicken,American,29.1,Weekend,4,31,27,58
165695,The Smile,American,13.39,Weekend,4,20,16,36
77540,Nobu Next Door,Japanese,9.7,Weekend,5,30,29,59
94167,Dos Caminos,Mexican,22.36,Weekend,5,30,26,56
165130,The Meatball Shop,Italian,12.13,Weekday,4,22,32,54
141908,Bareburger,American,6.07,Weekend,4,23,15,38
277898,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,22,26,48
149386,Yama Japanese Restaurant,Japanese,8.78,Weekend,4,22,28,50
75722,Osteria Morini,Italian,24.25,Weekday,4,22,24,46
212326,RedFarm Broadway,Chinese,20.18,Weekday,4,30,26,56
50123,Cafe Habana,Mexican,4.85,Weekend,5,28,22,50
52463,RedFarm Broadway,Chinese,6.06,Weekend,3,32,18,50
331143,Waverly Diner,American,6.84,Weekend,4,24,18,42
134340,Mira Sushi,Japanese,13.05,Weekend,4,33,29,62
374286,Vanessa's Dumpling House,Chinese,5.92,Weekday,5,30,32,62
351749,Shake Shack,American,12.13,Weekday,5,30,26,56
196355,Shake Shack,American,12.18,Weekday,5,23,31,54
75484,Five Guys Burgers and Fries,American,29.15,Weekend,5,20,16,36
47440,Blue Ribbon Fried Chicken,American,8.1,Weekend,4,33,22,55
300549,Shake Shack,American,7.23,Weekend,3,29,18,47
195927,Boqueria,Spanish,12.66,Weekend,5,27,30,57
115519,The Meatball Shop,Italian,12.23,Weekend,4,31,28,59
211697,Shake Shack,American,9.07,Weekday,4,21,32,53
93797,ilili Restaurant,Middle Eastern,6.02,Weekday,4,27,29,56
61388,Five Guys Burgers and Fries,American,14.12,Weekend,4,27,27,54
370096,Melt Shop,American,21.93,Weekend,5,30,18,48
59217,Jack's Wife Freda,Mediterranean,16.15,Weekend,4,26,22,48
211697,Shake Shack,American,7.08,Weekend,4,25,23,48
87188,Momoya,Japanese,32.93,Weekday,3,28,27,55
127934,Blue Ribbon Fried Chicken,American,12.13,Weekend,4,20,26,46
125123,S'MAC,American,15.57,Weekend,5,34,28,62
